Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Álex Abrines,SG,25,OKC,31,2,19.0,1.8,5.1,1.3,4.1,.323,0.5,1.0,.500,0.4,0.4,.923,0.2,1.4,1.5,0.6,0.5,0.2,0.5,1.7,5.3
Jaylen Adams,PG,22,ATL,34,1,12.6,1.1,3.2,0.7,2.2,.338,0.4,1.1,.361,0.2,0.3,.778,0.3,1.4,1.8,1.9,0.4,0.1,0.8,1.3,3.2
Steven Adams,C,25,OKC,80,80,33.4,6.0,10.1,0.0,0.0,.000,6.0,10.1,.596,1.8,3.7,.500,4.9,4.6,9.5,1.6,1.5,1.0,1.7,2.6,13.9
Bam Adebayo,C,21,MIA,82,28,23.3,3.4,5.9,0.0,0.2,.200,3.4,5.7,.588,2.0,2.8,.735,2.0,5.3,7.3,2.2,0.9,0.8,1.5,2.5,8.9
Deng Adel,SF,21,CLE,19,3,10.2,0.6,1.9,0.3,1.2,.261,0.3,0.7,.385,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.1,0.2,0.3,0.7,1.7
DeVaughn Akoon-Purcell,SG,25,DEN,7,0,3.1,0.4,1.4,0.0,0.6,.000,0.4,0.9,.500,0.1,0.3,.500,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0
LaMarcus Aldridge,C,33,SAS,81,81,33.2,8.4,16.3,0.1,0.5,.238,8.3,15.8,.528,4.3,5.1,.847,3.1,6.1,9.2,2.4,0.5,1.3,1.8,2.2,21.3
Grayson Allen,SG,23,UTA,38,2,10.9,1.8,4.7,0.8,2.6,.323,0.9,2.1,.443,1.2,1.6,.750,0.1,0.5,0.6,0.7,0.2,0.2,0.9,1.2,5.6
Jarrett Allen,C,20,BRK,80,80,26.2,4.2,7.1,0.1,0.6,.133,4.1,6.5,.629,2.5,3.5,.709,2.4,6.0,8.4,1.4,0.5,1.5,1.3,2.3,10.9
Kadeem Allen,PG,26,NYK,19,1,21.9,3.4,7.4,0.9,1.9,.472,2.5,5.5,.457,2.2,2.8,.778,0.4,2.3,2.7,4.0,0.8,0.2,1.4,2.4,9.9
Justin Anderson,SF,25,ATL,48,4,9.6,1.3,3.3,0.5,1.6,.312,0.8,1.7,.500,0.5,0.7,.743,0.5,1.3,1.8,0.5,0.5,0.3,0.5,1.0,3.7
Kyle Anderson,SF,25,MEM,43,40,29.8,3.5,6.4,0.2,0.8,.265,3.3,5.6,.583,0.9,1.5,.578,1.1,4.7,5.8,3.0,1.3,0.9,1.3,2.6,8.0
Ike Anigbogu,C,20,IND,3,0,2.0,0.0,1.0,0.0,0.0,0,0.0,1.0,.000,0.0,0.0,0,0.3,0.7,1.0,0.3,0.0,0.3,0.3,0.0,0.0
OG Anunoby,SF,21,TOR,67,6,20.2,2.7,6.0,1.0,3.0,.332,1.7,3.0,.574,0.5,0.9,.581,0.9,2.1,2.9,0.7,0.7,0.3,0.8,2.1,7.0
Trevor Ariza,SF,33,TOT,69,69,34.0,4.3,10.7,2.1,6.3,.334,2.2,4.4,.493,1.9,2.4,.793,0.7,4.7,5.4,3.7,1.3,0.3,1.5,1.9,12.5
Trevor Ariza,SF,33,PHO,26,26,34.0,3.3,8.7,1.9,5.3,.360,1.4,3.4,.409,1.4,1.7,.837,0.6,5.0,5.6,3.3,1.5,0.3,1.5,1.7,9.9
Trevor Ariza,SF,33,WAS,43,43,34.1,4.8,11.8,2.2,6.9,.322,2.6,5.0,.528,2.2,2.8,.777,0.8,4.5,5.3,3.8,1.2,0.3,1.6,2.0,14.1
D.J. Augustin,PG,31,ORL,81,81,28.0,3.9,8.4,1.6,3.8,.421,2.3,4.5,.511,2.2,2.6,.866,0.5,2.0,2.5,5.3,0.6,0.0,1.6,1.4,11.7
Deandre Ayton,C,20,PHO,71,70,30.7,7.2,12.3,0.0,0.1,.000,7.2,12.2,.588,2.0,2.7,.746,3.1,7.1,10.3,1.8,0.9,0.9,1.8,2.9,16.3
Dwayne Bacon,SG,23,CHO,43,13,17.7,2.8,6.0,0.9,2.0,.437,2.0,4.0,.494,0.8,1.1,.739,0.2,1.9,2.1,1.1,0.3,0.1,0.4,1.7,7.3
Ron Baker,SG,25,TOT,15,0,10.1,0.3,1.3,0.1,0.9,.077,0.2,0.5,.429,0.3,0.4,.833,0.1,0.7,0.7,1.0,0.4,0.1,0.3,1.2,0.9
Ron Baker,SG,25,NYK,11,0,9.7,0.4,1.5,0.1,0.8,.111,0.3,0.6,.429,0.5,0.5,.833,0.1,0.5,0.6,1.2,0.5,0.0,0.3,1.5,1.3
Ron Baker,SG,25,WAS,4,0,11.3,0.0,1.0,0.0,1.0,.000,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1.0,0.5,0.3,0.3,0.5,0.5,0.0
Wade Baldwin,PG,22,POR,16,0,5.9,0.6,2.1,0.1,0.6,.222,0.5,1.5,.333,0.5,0.7,.727,0.1,0.8,0.9,0.8,0.1,0.1,0.9,0.7,1.9
Lonzo Ball,PG,21,LAL,47,45,30.3,3.9,9.7,1.6,4.9,.329,2.3,4.9,.482,0.4,1.0,.417,1.1,4.2,5.3,5.4,1.5,0.4,2.2,2.4,9.9
Mo Bamba,C,20,ORL,47,1,16.3,2.5,5.2,0.4,1.5,.300,2.0,3.7,.555,0.8,1.3,.587,1.4,3.6,5.0,0.8,0.3,1.4,0.9,2.2,6.2
Harrison Barnes,SF,26,SAC,28,28,33.9,5.0,11.1,1.9,4.6,.408,3.1,6.4,.489,2.3,2.9,.800,0.8,4.8,5.5,1.9,0.6,0.1,1.1,1.5,14.3
Will Barton,SF,28,DEN,43,38,27.7,4.3,10.7,1.6,4.6,.342,2.7,6.1,.447,1.3,1.7,.770,0.7,3.9,4.6,2.9,0.4,0.5,1.5,1.9,11.5
Keita Bates-Diop,SF,23,MIN,30,3,16.8,2.0,4.7,0.4,1.7,.250,1.6,3.0,.522,0.6,0.9,.643,0.5,2.2,2.8,0.6,0.6,0.5,0.5,1.0,5.0
Nicolas Batum,SF,30,CHO,75,72,31.4,3.4,7.5,1.5,4.0,.389,1.8,3.5,.519,1.0,1.2,.865,0.9,4.3,5.2,3.3,0.9,0.6,1.6,1.9,9.3
Jerryd Bayless,PG,30,MIN,34,6,19.3,2.4,6.8,0.9,2.9,.296,1.6,3.9,.402,0.5,0.8,.571,0.3,1.5,1.8,3.5,0.5,0.1,0.9,1.6,6.1
Aron Baynes,C,32,BOS,51,18,16.1,2.1,4.4,0.4,1.2,.344,1.6,3.2,.519,1.0,1.2,.855,1.7,3.0,4.7,1.1,0.2,0.7,0.8,2.5,5.6
